Region,Year,DataType,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Africa,2040,Forecasted,35806026.362068966,0.017429310344827583,684675.3620689656,-6958.0,25.38103448275862,4.133965517241379,171.75862068965517,0.5860689655172413,1125073974.0,0.003893103448275862,9198847240.0,89.93103448275862
Africa,2045,Forecasted,39335387.31034483,0.015998275862068964,705872.1551724138,-6984.293103448276,26.43793103448276,4.133965517241379,185.74137931034483,0.6111724137931035,1299854895.0,0.00415,9481803274.0,88.53448275862068
Africa,2050,Forecasted,42918542.37931035,0.014553448275862068,716630.9827586206,-6928.862068965517,27.520689655172415,4.133965517241379,199.74137931034483,0.6362931034482758,1488817472.0,0.0044155172413793105,9735033990.0,87.08620689655173
Asia,1955,Historical,30373370.49019608,0.026123529411764705,565226.9607843137,3897.078431372549,20.7921568627451,5.961176470588235,269.2156862745098,0.3405098039215686,298616710.0,0.01096078431372549,2773019936.0,87.84313725490196
Asia,1960,Historical,33432177.470588237,0.028752941176470585,611761.3725490196,6505.21568627451,20.26274509803922,6.074705882352942,283.7450980392157,0.37017647058823533,360171131.0,0.01102156862745098,3034949748.0,86.62745098039215
Asia,1965,Historical,37156358.50980392,0.032078431372549024,744836.1960784313,-0.19607843137254902,19.388235294117646,6.091176470588235,331.6078431372549,0.3967843137254902,433189899.0,0.011131372549019608,3339583597.0,87.84313725490196
Asia,1970,Historical,42009418.23529412,0.03018627450980392,970611.9607843137,3497.843137254902,19.237254901960785,5.834509803921569,382.5098039215686,0.4256470588235294,508495121.0,0.011356862745098038,3700437046.0,84.2156862745098
Asia,1975,Historical,47081792.941176474,0.030162745098039217,1014474.9019607843,-4566.3725490196075,19.701960784313727,5.484901960784314,403.5882352941176,0.4498039215686275,599950130.0,0.011537254901960786,4079480606.0,83.52941176470588
Asia,1980,Historical,51952515.686274506,0.025866666666666666,974144.568627451,-4682.333333333333,20.523529411764706,4.983529411764706,430.72549019607845,0.4772549019607843,717985759.0,0.011654901960784314,4458003514.0,83.31372549019608
Asia,1985,Historical,57277905.4117647,0.026423529411764703,1065077.8823529412,-659.6078431372549,21.398039215686275,4.68843137254902,490.27450980392155,0.5030588235294118,868891038.0,0.011762745098039215,4870921740.0,82.66666666666667
