country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank,DataType
Vietnam,2005,83832661,0.0096,784450.0,-130200.0,26.4,1.92,270,0.2739999999999999,23000555.0,0.0128,6541907027,13,Historical
Ireland,2017,4753279,0.0121999999999999,57500.0,23604.0,36.8,1.94,69,0.631,2997322.0,0.0006,7547858925,121,Historical
Sweden,1980,8316338,0.0029,23800.0,17713.0,36.3,1.66,20,0.831,6909767.0,0.0019,4458003514,70,Historical
Congo,1985,2054312,0.0293,55276.0,420.0,17.0,5.8,6,0.541,1111137.0,0.0004,4870921740,135,Historical
Faeroe Islands,2015,48051,0.001,47.0,-12000.0,27.3,4.3,34,0.424,20388.0,0.0,7379797139,212,Historical
North Korea,1985,18877238,0.0156,281020.0,0.0,23.5,2.8,157,0.5760000000000001,10881506.0,0.0039,4870921740,40,Historical
United States Virgin Islands,2020,104425,-0.0015,-153.0,-451.0,42.6,2.05,298,0.963,100599.0,0.0,7794798739,199,Historical
India,1980,698952844,0.0232,15169989.0,222247.0,20.2,4.97,235,0.23,160941941.0,0.1568,4458003514,2,Historical
Montserrat,1985,10792,-0.0144999999999999,-163.0,-480.0,44.8,1.75,108,0.131,1416.0,0.0,4870921740,224,Historical
United States,1970,209513341,0.0096,1955933.0,311211.0,28.4,2.54,23,0.736,154262109.0,0.0566,3700437046,3,Historical
Papua New Guinea,1955,2086247,0.0083,16820.0,-2465.0,19.5,6.24,5,0.022,46008.0,0.0008,2773019936,113,Historical
Namibia,1980,1057727,0.0222,21961.0,-8860.0,16.7,6.46,1,0.24,253837.0,0.0002,4458003514,147,Historical
Anguilla,1980,7285,0.0034999999999999,25.0,-999.5,20.7,5.55,81,0.92,6702.0,0.0,4458003514,228,Historical
Uzbekistan,1970,12080317,0.0361,392689.0,89235.0,17.5,6.4,28,0.368,4446089.0,0.0033,3700437046,44,Historical
Nigeria,2005,138865016,0.0258,3316233.0,-34000.0,18.0,6.05,152,0.391,54288918.0,0.0212,6541907027,9,Historical
Montserrat,1995,9848,-0.0149,-153.0,-480.0,44.8,1.75,98,0.13,1279.0,0.0,5744212979,227,Historical
Gibraltar,1995,28692,-0.0031,-91.0,-10000.0,26.9,3.89,2869,0.988,28560.0,0.0,5744212979,216,Historical
Swaziland,2016,1113997,0.009,9953.0,-8353.0,19.9,3.11,65,0.283,315075.0,0.0001,7464022049,159,Historical
Myanmar,2020,54409800,0.0067,364380.0,-163313.0,29.0,2.17,83,0.314,17068066.0,0.0069999999999999,7794798739,26,Historical
Uganda,2019,44269594,0.0361,1540558.0,168694.0,16.1,5.62,222,0.252,11135655.0,0.0056999999999999,7713468100,32,Historical
Reunion,1965,390775,0.0308999999999999,11016.0,-487.0,17.1,6.56,156,0.382,149095.0,0.0001,3339583597,160,Historical
Switzerland,2019,8591365,0.0077,65754.0,52000.0,42.4,1.53,217,0.74,6357099.0,0.0011,7713468100,100,Historical
Turkey,1980,43975971,0.0229,939743.0,-52000.0,20.0,4.69,57,0.4379999999999999,19252765.0,0.0098999999999999,4458003514,20,Historical
Kazakhstan,2020,18776707,0.0121,225280.0,-18000.0,30.7,2.76,7,0.5770000000000001,10828881.0,0.0024,7794798739,64,Historical
British Virgin Islands,1990,17489,0.0462,707.0,4000.0,45.1,1.74,117,0.356,6225.0,0.0,5327231061,220,Historical
Mauritius,1970,826441,0.0187,14631.0,-5831.0,17.8,4.61,407,0.426,351699.0,0.0002,3700437046,145,Historical
Montenegro,1970,519696,-0.0053,-2824.0,-10755.0,24.1,2.89,39,0.2689999999999999,139552.0,0.0001,3700437046,156,Historical
Andorra,1975,30705,0.0481,1286.0,-10000.0,34.9,3.05,65,0.873,26791.0,0.0,4079480606,208,Historical
Maldives,2018,515696,0.0389,19294.0,11370.0,28.9,2.06,1719,0.3429999999999999,176851.0,0.0001,7631091040,173,Historical
British Virgin Islands,2016,29355,0.0069999999999999,203.0,4000.0,45.1,1.74,196,0.49,14397.0,0.0,7464022049,220,Historical
Slovenia,1955,1527205,0.0072,10822.0,-4000.0,28.2,2.68,76,0.238,363718.0,0.0006,2773019936,124,Historical
Libya,1975,2645139,0.0438999999999999,102323.0,11733.0,16.1,8.1,2,0.628,1660757.0,0.0006,4079480606,122,Historical
United States,2000,281710909,0.0121999999999999,3309433.0,1771991.0,35.2,2.0,31,0.7909999999999999,222927913.0,0.0458999999999999,6143493823,3,Historical
Saint Kitts And Nevis,1975,44272,-0.0027,-122.0,-9000.0,27.2,4.1,170,0.35,15509.0,0.0,4079480606,206,Historical
Estonia,2015,1315325,-0.0025,-3355.0,-2103.0,41.6,1.59,31,0.684,899890.0,0.0002,7379797139,154,Historical
Colombia,1960,16057724,0.0311,456545.0,-46559.0,16.7,6.68,14,0.475,7625171.0,0.0053,3034949748,32,Historical
Wallis And Futuna Islands,1975,9320,0.0103,93.0,-83146.5,41.2,2.06,67,0.0,0.0,0.0,4079480606,223,Historical
Bermuda,1980,57573,0.0077,435.0,-2000.0,23.3,4.87,1151,0.99,56992.0,0.0,4458003514,203,Historical
Isle Of Man,1955,52408,-0.0105,-569.0,10000.0,44.2,1.84,92,0.54,28315.0,0.0,2773019936,193,Historical
